parent_id,verdict,finding,limitation,sources
post_policy__X01380790-I1,Separate baseline projects; beneficial independence not certified,September 10: baseline adjudication retains Wilson 60 and Boston 97 separately. The Wilson deed covers lot 6 and the Boston zoning declaration covers lot 1; different sponsors/design teams and no affirmative joint-development document support separation.,"Historical affiliation clues remain. The August 2026 declaration is post-capture corroboration, not proof of beneficial independence at filing. Reopen only with new affirmative project evidence.",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2023053000354001 ; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026080500151002
post_policy__X01387133-I1,Connection and counts supported,Reciprocal zoning-lot references and Commercial Observer reporting support two 99-unit buildings developed by Leo Brody.,The source capture provides only short follow-up after these filings.,"https://commercialobserver.com/2026/04/leo-brody-housing-1526-grand-concourse-bronx/ ; savedDOB X01387133,X01388531."
post_policy__X01338717-I1,Connection supported,"All three 99-unit filings share MPP 590, Artist Construction, Anshel Fridman, Shmuel Wieder and the filing date.",Nearby 114 Bruckner names a different sponsor; proximity alone does not establish membership.,"Saved DOB X01338717,X01338737,X01338741, July2026 capture."
post_policy__M01393124-I1,Internal connection supported,"Both 16-story filings share Westorchard, Steven Westreich and Leandro Dickson on adjacent parcels, 52 days apart. Public reporting for 4388 matches 99 units.",Joint financing was not independently verified. Short follow-up may omit later companions.,"https://www.pincusco.com/westbridge-realty-group-files-plans-for-99-units-in-washington-heights/ ; savedDOB M01393124,M01417673."
post_policy__B01390326-I1,Connection supported,"All three DOB descriptions cross-reference one another and identify the same zoning lot, owner, applicant and scope. The two 82-unit filings and one 64-unit filing have distinct addresses.",Nearby Ranco and Waterfront projects have different sponsors; keep them separate absent additional evidence.,"Saved DOB B01390326,B01390458,B01390460, July2026 capture."
post_policy__Q01388823-I1,Connection and counts supported,"Public construction reporting identifies the paired 26-story, 99-unit proposals by Elie Pariente, matching the filing addresses.",Other nearby EMP projects do not automatically belong to this parent.,https://therealdeal.com/new-york/2026/05/20/new-york-citys-top-construction-permits-may-15-2026/ ; https://commercialobserver.com/2026/07/emp-capital-group-housing-astoria-development/
post_policy__B01408961-I1,Connection and counts supported,"Commercial Observer describes two 18-story, 99-unit buildings by Moses Karpen. JLL markets the addresses together.",The joint marketing also allows separate sale. Common economic sponsorship does not establish legal wage assessment.,https://commercialobserver.com/2026/06/moses-karpen-housing-99-units-brooklyn-atlantic-avenue/ ; https://invest.jll.com/us/en/listings/land/1029-1035-atlantic-avenue
post_policy__Q01415856-I1,Connection and counts supported,"Commercial Observer on June 22 reports Grun Group proposals of 58 and 50 units at 116-18 and 116-14 Grosvenor, matching DOB.",A later YIMBY article claims 189 at 116-14. That inconsistent press figure should not replace the job-level total of 108 without plans.,https://commercialobserver.com/2026/06/grun-group-housing-kew-gardens-queens/ ; https://newyorkyimby.com/2026/07/permits-filed-for-11614-grosvenor-lane-in-kew-gardens-queens.html
post_policy__X01417499-I1,Connection supported,"Reciprocal DOB references identify one zoning lot, the same owner 773 Grote/Luce Popaj and Nikolai Katz, with 28 and 99 units.","Nearby 1481 Boston, with 74 units, names Aleksander Mici. No evidence was found to add it to this parent.","Saved DOB X01417499,X01417654,X01306444, July2026 capture."
post_policy__Q01261008-I1,Three-building connection independently corroborated,"September 10: August 6, 2025 reporting identifies Steven Hurwitz/Cavu and Joseph Frankl behind all three filings, totaling 253 units. The saved component counts are 84+87+82.",Reporting calls the 33rd Street address 38-10 rather than saved 38-12. Common three-building project and total are corroborated; this does not certify legal wage treatment.,https://therealdeal.com/new-york/2025/08/06/how-to-buy-a-rent-stabilized-lease-pay-for-renovations/
historical__B00696389,Connection and distinct proposed buildings supported,"September 12 administrative review: Fulton Street: two same-day filings propose 84 and 213 units, with distinct DOB BINs 3429446 and 3429445, LM Developments ownership and JFA architects. HDB repeats BIN 3347027.",Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): B00696389; B00696392; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
post_policy__B01176928-I1,Connection and distinct proposed buildings supported,"September 12 administrative review: Erskine/South: two same-day filings propose 131 and 142 units, with distinct DOB BINs 3327530 and 3429124, Apex Building Group ownership and Dattner architects. HDB repeats BIN 3327531.",Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): B01176928; B01176982; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
post_policy__B01225983-I1,Connection and distinct proposed buildings supported,"September 12 administrative review: Shepherd/Highland: two 99-unit filings have distinct DOB BINs 3430170 and 3430169, Empire Management ownership and DJLU architect. HDB repeats BIN 3256546.",Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): B01225983; B01241582; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
post_policy__B01256572-I1,Connection and distinct proposed buildings supported,"September 12 administrative review: Atlantic/Havens: two approved 99-unit filings have distinct DOB BINs 3042802 and 3430248, Arenda Management ownership and P Georgopoulos architect. HDB repeats BIN 3042802.",Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): B01256572; B01261070; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
post_policy__B01297622-I1,Connection and distinct proposed buildings supported,"September 12 administrative review: East 108th Street: two 99-unit filings have distinct DOB BINs 3427509 and 3427510. The second description names the first filing and states that both share one zoning lot, owner and applicant. HDB repeats BIN 3231525.",Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): B01297622; B01333932; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
post_policy__B01316595-I1,Connection and distinct proposed buildings supported,"September 12 administrative review: Sullivan/Empire: four 99-unit filings have distinct DOB BINs 3430338, 3430340, 3430339 and 3034456, HSD Construction ownership and Kao Hwa Lee architects. HDB assigns BIN 3034455 to three filings. All four have Objections status in the saved snapshot.",Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): B01316595; B01316678; B01317227; B01339675; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
post_policy__X01239762-I1,Connection and distinct proposed buildings supported,September 12 administrative review: Anthony Avenue: the 71- and 61-unit filings have distinct DOB BINs 2131129 and 2131123 and Becall Engineering as applicant. The second description explicitly states it is filed in conjunction with the first. HDB repeats BIN 2013681.,Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): X01239762; X01250532; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
post_policy__X01250398-I1,Connection and distinct proposed buildings supported,"September 12 administrative review: Burnside/Walton: filings propose 77, 84 and 94 units with distinct DOB BINs 2013946, 2131177 and 2131176, Express Builders ownership and Nikolai Katz architect. HDB repeats BIN 2013946.",Saved administrative proposals support economic parent membership and separate building identifiers; they do not establish completed construction or a common legal wage-assessment unit.,stage_dob_now_new_building_filings/output/dob_now_new_building_initial_filings.parquet (July 2026 snapshot): X01250398; X01297399; X01297496; build_hdb_mappluto_site_panel/output/hdb_mappluto_site_panel.parquet
historical__210180819,Connection and reconstructed ground supported,"September 21: The two DOB jobs were filed five days apart and form the planned 570-unit Starhill campus. The developer and architect identify one two-building development with shared amenities and open space. The recorded declaration defines its combined ground and excludes retained lots 129 and 162. Production applies one parent on 70,063 square feet with 80,370 square feet of earlier building floor area.","Ground uses later administrative areas for the recorded boundary, with earlier zoning and building attributes allocated to that ground. This establishes neither initial land ownership nor one legal wage-assessment unit.",https://bronxprogroup.com/completed/starhill-phase-1-i-bronx-ny ; https://marveldesigns.com/project/starhill-residences/ ; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022031800654005
historical__B00698115,Connection and development ground supported,"September 21: The DEC investigation identifies one four-building redevelopment, and the developer names the four observed addresses as Bedford Square buildings A-D. Their DOB filings fall within 31 days and total 877 administrative units. Production applies one parent on 177,520.79 square feet, excluding retained Sears land and its entire earlier building area. The complete earlier east parcel contributes 14,946 square feet of pre-existing floor area.","The east ground uses the complete 21v1 parcel at 60,650 square feet; later east administrative areas differ by 76 square feet. Later recorded boundaries establish observed development ground rather than ownership at initial filing or legal wage-assessment treatment.",https://extapps.dec.ny.gov/data/DecDocs/C224384/Report.BCP.C224384.2023-10-26.Remedial%20Investigation%20Report.pdf ; https://extapps.dec.ny.gov/data/DecDocs/C224384/Easement.BCP.C224384.2024-12-20.Recorded%20EE.pdf ; https://bedfordsquarebk.com/the-district/
historical__121207292,Connection supported; merger implemented,"September 21: City Planning DEIS pp. 2-3 and 13 and CPC decision pp. 2-3 identify the Suffolk and Norfolk buildings on old lots 37 and 75 as one GO Broome development. Jobs 121207292 and 121207522 were filed March 6 and April 10, 2020. The administrative counts sum to 495.",Retained Hong Ning lot 1 is outside the development ground. The separate 4600-versus-zero earlier-floor source conflict remains queued; it does not change membership or administrative units. Economic membership does not establish one legal wage-assessment unit.,https://www.nyc.gov/assets/planning/download/pdf/applicants/env-review/go-broome/01-deis.pdf ; https://www.nyc.gov/assets/planning/download/pdf/about/cpc/200061a.pdf
historical__210180533,Connection supported; merger implemented,"September 21: The recorded egress agreement 2020090200965011 p. 3 names both exact Motto jobs 210180533 and 210180542. Development agreement 2020090200965004 pp. 4 and 9 and the June 2019 DEC site plan establish their joint development ground on successor lots 38 and 39 plus ancillary lot 155. Both jobs were filed December 26, 2019; administrative counts sum to 264.",Retained lot 37 supplies emergency egress but is outside physical development ground. Economic membership does not establish one legal wage-assessment unit.,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020090200965011 ; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020090200965004 ; https://extapps.dec.ny.gov/data/DecDocs/C203125/Report.BCP.C203125.2022-12-29.FER_APPENDIX%20D.pdf
historical__420665845,Connection supported; merger implemented,"September 21: The executed 2019 DEC agreement pp. 1, 3 and 7 names both Woodside addresses, their common owner and the complete six-lot predecessor site. The 2021 Site Management Plan p. 14 describes the same 71862-square-foot two-building development. Jobs 420665845 and 420665952 were filed June 1 and June 14, 2019; administrative counts sum to 478.","The full site includes old lots 8, 9, 21, 41, 44 and 50. The saved original lot list for the later job alone covers only 41, 44 and 50. Economic membership does not establish one legal wage-assessment unit.",https://extapps.dec.ny.gov/data/DecDocs/C241235/Agreement.BCP.C241235.2019-10-11.Executed%20BCA.pdf ; https://extapps.dec.ny.gov/data/DecDocs/C241235/Work%20Plan.BCP.C241235.2021-11-30.Site%20Management%20Plan%20%28SMP%29%20-%20Final.pdf
post_policy__Q01254595-I1,Connection supported; merger implemented,"September 21: The recorded Elara joint mortgage 2026082500424009 pp. 1-4 and 31-35 covers both borrowers and all three parcels, names exact jobs Q01254595-I1 and Q01254580-I1, and records joint financing before their October 6 and 7, 2025 filings. The developer identifies one 429-apartment project, agreeing with administrative 330+99 units.",All three frozen parcels enter once. The recorded economic connection does not establish one legal wage-assessment unit.,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026082500424009 ; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026082500424001 ; https://thedomaincos.com/portfolio/elara/
post_policy__X01201390-I1,Connection supported; merger implemented,"September 21: Recorded development agreement 2026071500691002 pp. 4 and 6-7 jointly describes the Godwin/Kimberly 99-unit lot-79 and 65-unit lot-88 buildings, with legal descriptions on pp. 25 and 27. The May 2025 recorded drawing locates retained commercial lot 78. Jobs X01201390-I1 and X01202536-I1 were both filed March 31, 2025; administrative counts sum to 164.",Retained commercial lot 78 is excluded from physical development ground. The later agreement locates the retained building without replacing its frozen administrative floor-area measure. Economic membership does not establish one legal wage-assessment unit.,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2026071500691002 ; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025052300873001
